FS331 UB	990.7648	998.4903	99.9969	
FS332 UB	990.4981	998.2692	99.9767	
FS333 UB	992.4074	997.5822	99.9557	
FS334 B	992.3328	994.8098	99.9456	
FS335 UB	990.6280	998.6559	99.9906	
FS336 UB	990.7629	998.5645	99.9860	
FS337 UB	992.1236	997.0565	99.9552	
FS338 UB	992.2963	996.2043	99.9768	
FS339 UB	990.5366	998.2810	99.9768	
FS340 UB	990.6308	998.7822	99.9879	
FS341 UB	991.0373	996.8248	99.9610	
FS342 UB	990.5133	998.2955	99.9585	
FS343 UB	990.6392	998.6445	99.9621	
FS344 CHA	992.3355	997.7845	99.9561	
FS345 UB	992.0395	997.5526	99.9663	
FS346 UB	991.0738	996.9012	99.9428	
FS347 STO	990.5912	997.5276	99.9786	
FS348 UB	990.5828	997.4811	99.9792	
FS349 UB	990.5996	997.7401	99.9783	
FS350 UB	990.7448	997.7360	99.9835	
FS351 UB	990.8092	997.5260	99.9871	
FS352 UB	991.2161	996.6848	99.9468	
FS353 UB	991.8687	997.2981	99.9542	
FS354 UB	990.6149	999.3401	99.9724	
FS355 UB	990.7018	997.5779	99.9614	
FS356 UB	990.7855	997.4963	99.9539	
FS357 UB	990.8641	997.5121	99.9527	
FS358 UB	992.0295	995.9544	99.9575	
FS359 UB	991.9270	997.3769	99.9526	
FS360 UB	991.1308	997.5984	99.9498	
FS361 UB	991.7879	997.1320	99.9517	
FS362 UB	992.0514	997.7602	99.9659	
FS363 CHA	991.5827	997.3375	99.9628	
FS364 UB	991.8081	994.3020	99.9569	
FS372 B	992.2659	998.0433	99.9795	
FS373 UB	991.5715	995.7760	99.9973	
FS374 UB	991.0891	996.3540	99.9900	
FS375 UB	992.1525	998.2634	99.9961	
FS376 UB	992.2651	998.0463	99.9787	
FS377 UB	992.2454	998.2593	99.9875	
FS378 UB	992.1135	998.3010	99.9955	
FS379 UB	990.6129	996.8294	99.9840	
FS380 UB	991.6242	995.6931	99.9720	
FS381 B	992.2052	998.0804	99.9827	
FS382 UB	992.3635	998.1905	99.9694	
FS383 UB	992.2286	998.3355	99.9841	
FS384 B	991.0703	996.3190	99.9549	
FS385 B	991.3961	996.1437	99.9570	
FS386 CHA	991.4368	996.2744	99.9555	
FS388 UB	992.3298	998.2926	99.9705	
FS389 UB	991.3299	994.9601	99.9626	
FS390 UB	992.1237	998.3004	99.9883	
FS391 UB	991.3525	995.1420	99.9581	
FS392 UB	992.3185	998.1620	99.9534	
FS393 T	990.7823	996.8905	99.9880	
FS394 UB	990.8808	996.8208	100.0117	
FS395 UB	990.8006	995.4618	99.9991	
FS396 UB	990.5858	995.4916	99.9924	
FS397 UB	991.3310	996.0445	99.9468	
FS398 UB	990.4341	997.5349	99.9668	
FS399 SL	990.8511	995.6547	99.9760	
FS400 UB	990.7939	995.4521	99.9837	
FS401 UB	990.3627	997.5305	99.9533	
FS402 UB	990.7539	996.9118	99.9816	
FS403 B	990.0021	997.5293	99.9566	
FS404 UB	991.0151	994.4925	99.9658	
FS405 UB	990.4348	997.8279	99.9488	
FS406 B	990.4999	993.7014	99.9809	
FS407 UB	990.7750	995.6749	99.9632	
FS408 UB	990.8908	995.4807	99.9590	
FS409 UB	990.2343	997.9508	99.9701	
FS410 UB	991.5281	996.0489	99.9879	
FS411 UB	990.3808	997.8867	99.9562	
FS412 UB	991.8645	998.2695	99.9947	
FS413 UB	990.8134	996.7683	99.9668	
FS414 UB	990.7046	995.1638	99.9849	
FS415 UB	991.8855	997.9994	99.9986	
FS416 T	990.0133	997.8830	99.9615	
FS417 UB	990.8224	996.8337	99.9642	
FS418 T	991.6170	998.0911	99.9939	
FS419 UB	990.3159	998.1032	99.9861	
FS420 UB	990.7967	995.2034	99.9836	
FS421 UB	990.7616	995.5630	99.9571	
FS422 UB	990.9098	996.0067	99.9546	
FS423 UB	990.6962	996.0732	99.9638	
FS424 UB	990.5972	995.9484	99.9647	
FS425 UB	990.4828	993.9290	99.9656	
FS426 UB	990.6533	995.2412	99.9727	
FS427 UB	990.8249	995.1702	99.9559	
FS428 UB	990.9628	995.1876	99.9545	
FS429 UB	990.3809	998.2434	99.9788	
FS430 UB	990.3898	998.1958	99.9847	
FS431 UB	990.3848	998.0634	99.9750	
FS432 UB	990.2652	998.0484	99.9652	
FS433 CHA	990.1718	998.0568	99.9676	
FS434 UB	990.1320	998.1597	99.9863	
FS435 UB	991.6771	995.9440	99.9520	
FS436 UB	991.7104	996.1779	99.9685	
FS437 UB	991.7943	996.2351	99.9731	
FS438 UB	990.7066	996.5055	99.9503	
FS439 UB	990.6682	996.7286	99.9588	
FS440 UB	991.5188	998.3119	99.9951	
FS441 UB	991.8253	998.1665	99.9849	
FS442 B	991.7517	998.3700	99.9849	
FS443 UB	991.9598	998.3490	99.9752	
FS444 UB	990.3755	998.2710	99.9606	
FS445 UB	990.2672	998.3698	99.9707	
FS446 UB	990.0715	998.2116	99.9761	
FS448 UB	990.0344	998.0313	99.9815	
FS452 UB	990.6066	994.4546	99.9940	
FS453 UB	990.2505	998.2307	99.9504	
FS454 UB	991.8201	998.1432	99.9760	
FS455 B	991.9683	998.1229	99.9697	
FS456 UB	990.0881	997.9652	99.9588	
FS457 B	990.7352	994.5312	99.9730	
FS462 B	991.9491	998.0730	99.9586	
FS463 UB	991.7523	997.6797	99.9812	
FS464 UB	991.7706	997.8390	99.9551	
FS465 UB	989.6672	998.1425	99.9750	
FS466 UB	990.6639	997.2322	100.0040	
FS467 UB	991.0668	997.0475	99.9588	
FS468 STO	991.0440	997.0524	99.9545	
FS469 UB	990.6632	997.2345	99.9997	
FS471 B	989.6415	997.8513	99.9402	
FS472 UB	990.3734	998.4001	99.9527	
FS473 UB	991.3702	997.3463	99.9506	
FS475 UB	991.2368	997.2698	99.9494	
FS476 UB	991.1906	996.9920	99.9400	
FS477 HOR	991.1811	997.2810	99.9540	
FS478 UB	990.5976	997.3152	99.9795	
FS479 UB	991.5275	996.7945	99.9491	
